tsk_0indv	tsk_0indv.1	X0
tsk_1indv	tsk_1indv	0
tsk_2indv	tsk_2indv	0
tsk_3indv	tsk_3indv	0
tsk_4indv	tsk_4indv	0
tsk_5indv	tsk_5indv	0
tsk_6indv	tsk_6indv	0
tsk_7indv	tsk_7indv	0
tsk_8indv	tsk_8indv	0
tsk_9indv	tsk_9indv	0
tsk_10indv	tsk_10indv	0
tsk_11indv	tsk_11indv	0
tsk_12indv	tsk_12indv	0
tsk_13indv	tsk_13indv	0
tsk_14indv	tsk_14indv	0
tsk_15indv	tsk_15indv	0
tsk_16indv	tsk_16indv	0
tsk_17indv	tsk_17indv	0
tsk_18indv	tsk_18indv	0
tsk_19indv	tsk_19indv	0
tsk_20indv	tsk_20indv	0
tsk_21indv	tsk_21indv	0
tsk_22indv	tsk_22indv	0
tsk_23indv	tsk_23indv	0
tsk_24indv	tsk_24indv	0
tsk_25indv	tsk_25indv	0
tsk_26indv	tsk_26indv	0
tsk_27indv	tsk_27indv	0
tsk_28indv	tsk_28indv	0
tsk_29indv	tsk_29indv	0
tsk_30indv	tsk_30indv	0
tsk_31indv	tsk_31indv	0
tsk_32indv	tsk_32indv	0
tsk_33indv	tsk_33indv	0
tsk_34indv	tsk_34indv	0
tsk_35indv	tsk_35indv	0
tsk_36indv	tsk_36indv	0
tsk_37indv	tsk_37indv	0
tsk_38indv	tsk_38indv	0
tsk_39indv	tsk_39indv	0
tsk_40indv	tsk_40indv	0
tsk_41indv	tsk_41indv	0
tsk_42indv	tsk_42indv	0
tsk_43indv	tsk_43indv	0
tsk_44indv	tsk_44indv	0
tsk_45indv	tsk_45indv	0
tsk_46indv	tsk_46indv	0
tsk_47indv	tsk_47indv	0
tsk_48indv	tsk_48indv	0
tsk_49indv	tsk_49indv	0
tsk_50indv	tsk_50indv	1
tsk_51indv	tsk_51indv	1
tsk_52indv	tsk_52indv	1
tsk_53indv	tsk_53indv	1
tsk_54indv	tsk_54indv	1
tsk_55indv	tsk_55indv	1
tsk_56indv	tsk_56indv	1
tsk_57indv	tsk_57indv	1
tsk_58indv	tsk_58indv	1
tsk_59indv	tsk_59indv	1
tsk_60indv	tsk_60indv	1
tsk_61indv	tsk_61indv	1
tsk_62indv	tsk_62indv	1
tsk_63indv	tsk_63indv	1
tsk_64indv	tsk_64indv	1
tsk_65indv	tsk_65indv	1
tsk_66indv	tsk_66indv	1
tsk_67indv	tsk_67indv	1
tsk_68indv	tsk_68indv	1
tsk_69indv	tsk_69indv	1
tsk_70indv	tsk_70indv	1
tsk_71indv	tsk_71indv	1
tsk_72indv	tsk_72indv	1
tsk_73indv	tsk_73indv	1
tsk_74indv	tsk_74indv	1
tsk_75indv	tsk_75indv	1
tsk_76indv	tsk_76indv	1
tsk_77indv	tsk_77indv	1
tsk_78indv	tsk_78indv	1
tsk_79indv	tsk_79indv	1
tsk_80indv	tsk_80indv	1
tsk_81indv	tsk_81indv	1
tsk_82indv	tsk_82indv	1
tsk_83indv	tsk_83indv	1
tsk_84indv	tsk_84indv	1
tsk_85indv	tsk_85indv	1
tsk_86indv	tsk_86indv	1
tsk_87indv	tsk_87indv	1
tsk_88indv	tsk_88indv	1
tsk_89indv	tsk_89indv	1
tsk_90indv	tsk_90indv	1
tsk_91indv	tsk_91indv	1
tsk_92indv	tsk_92indv	1
tsk_93indv	tsk_93indv	1
tsk_94indv	tsk_94indv	1
tsk_95indv	tsk_95indv	1
tsk_96indv	tsk_96indv	1
tsk_97indv	tsk_97indv	1
tsk_98indv	tsk_98indv	1
tsk_99indv	tsk_99indv	1
